Nome,Tipo,ID,Leitura,Erro
temp sens,Temperatura,1,9ºC,0
temp sens,Temperatura,1,9ºC,0
temp sens,Temperatura,1,10ºC,0
temp sens,Temperatura,1,10ºC,0
temp sens,Temperatura,1,11ºC,0
temp sens,Temperatura,1,13ºC,0
temp sens,Temperatura,1,15ºC,0
temp sens,Temperatura,1,16ºC,0
temp sens,Temperatura,1,16ºC,0
temp sens,Temperatura,1,17ºC,0
temp sens,Temperatura,1,18ºC,0
temp sens,Temperatura,1,19ºC,0
temp sens,Temperatura,1,21ºC,0
temp sens,Temperatura,1,20ºC,0
temp sens,Temperatura,1,19ºC,0
temp sens,Temperatura,1,20ºC,0
temp sens,Temperatura,1,21ºC,0
temp sens,Temperatura,1,22ºC,0
temp sens,Temperatura,1,22ºC,0
temp sens,Temperatura,1,21ºC,0
temp sens,Temperatura,1,22ºC,0
temp sens,Temperatura,1,20ºC,0
temp sens,Temperatura,1,20ºC,0
temp sens,Temperatura,1,20ºC,0
temp sens,Temperatura,1,20ºC,0
temp sens,Temperatura,1,18ºC,0
temp sens,Temperatura,1,17ºC,0
temp sens,Temperatura,1,16ºC,0
temp sens,Temperatura,1,14ºC,0
temp sens,Temperatura,1,13ºC,0
temp sens,Temperatura,1,11ºC,0
temp sens,Temperatura,1,10ºC,0
temp sens,Temperatura,1,10ºC,0
temp sens,Temperatura,1,9ºC,0
temp sens,Temperatura,1,8ºC,0
temp sens,Temperatura,1,8ºC,0
temp sens,Temperatura,1,9ºC,0
temp sens,Temperatura,1,9ºC,0
temp sens,Temperatura,1,10ºC,0
temp sens,Temperatura,1,10ºC,0
temp sens,Temperatura,1,10ºC,0
temp sens,Temperatura,1,10ºC,0
temp sens,Temperatura,1,9ºC,0
wind veloc sens,Veloc. Vento,2,5km/h,0
wind veloc sens,Veloc. Vento,2,8km/h,0
wind veloc sens,Veloc. Vento,2,15km/h,0
wind veloc sens,Veloc. Vento,2,22km/h,0
wind veloc sens,Veloc. Vento,2,17km/h,0
wind veloc sens,Veloc. Vento,2,26km/h,0
wind veloc sens,Veloc. Vento,2,16km/h,0
wind veloc sens,Veloc. Vento,2,12km/h,0
wind veloc sens,Veloc. Vento,3,4km/h,0
wind veloc sens,Veloc. Vento,3,11km/h,0
wind veloc sens,Veloc. Vento,3,13km/h,0
wind veloc sens,Veloc. Vento,3,17km/h,0
wind veloc sens,Veloc. Vento,3,16km/h,0
wind veloc sens,Veloc. Vento,3,9km/h,0
wind veloc sens,Veloc. Vento,3,16km/h,0
wind veloc sens,Veloc. Vento,3,22km/h,0
wind dir sens,Dir. Vento,4,68º,0
wind dir sens,Dir. Vento,4,77º,0
wind dir sens,Dir. Vento,4,74º,0
wind dir sens,Dir. Vento,4,81º,0
wind dir sens,Dir. Vento,4,76º,0
wind dir sens,Dir. Vento,4,66º,0
wind dir sens,Dir. Vento,4,74º,0
wind dir sens,Dir. Vento,4,73º,0
wind dir sens,Dir. Vento,5,349º,0
wind dir sens,Dir. Vento,5,347º,0
wind dir sens,Dir. Vento,5,340º,0
wind dir sens,Dir. Vento,5,340º,0
wind dir sens,Dir. Vento,5,340º,0
wind dir sens,Dir. Vento,5,344º,0
wind dir sens,Dir. Vento,5,353º,0
wind dir sens,Dir. Vento,5,350º,0
wind dir sens,Dir. Vento,6,307º,0
wind dir sens,Dir. Vento,6,303º,0
wind dir sens,Dir. Vento,6,313º,0
wind dir sens,Dir. Vento,6,319º,0
pluvio sens,Pluviosidade,7,0mm,0
pluvio sens,Pluviosidade,7,0mm,0
pluvio sens,Pluviosidade,7,4mm,0
pluvio sens,Pluviosidade,7,7mm,0
pluvio sens,Pluviosidade,7,6mm,0
pluvio sens,Pluviosidade,7,9mm,0
pluvio sens,Pluviosidade,7,7mm,0
pluvio sens,Pluviosidade,7,10mm,0
soil hum sens,Humid. Solo,8,8%,0
soil hum sens,Humid. Solo,8,10%,0
soil hum sens,Humid. Solo,8,31%,0
soil hum sens,Humid. Solo,8,53%,0
soil hum sens,Humid. Solo,8,75%,0
soil hum sens,Humid. Solo,8,93%,0
soil hum sens,Humid. Solo,8,97%,0
soil hum sens,Humid. Solo,8,99%,0
soil hum sens,Humid. Solo,9,12%,0
soil hum sens,Humid. Solo,9,11%,0
soil hum sens,Humid. Solo,9,34%,0
soil hum sens,Humid. Solo,9,55%,0
soil hum sens,Humid. Solo,9,73%,0
soil hum sens,Humid. Solo,9,73%,0
soil hum sens,Humid. Solo,9,95%,0
soil hum sens,Humid. Solo,9,98%,0
soil hum sens,Humid. Solo,10,10%,0
soil hum sens,Humid. Solo,10,10%,0
soil hum sens,Humid. Solo,10,29%,0
soil hum sens,Humid. Solo,10,52%,0
soil hum sens,Humid. Solo,10,73%,0
soil hum sens,Humid. Solo,10,95%,0
soil hum sens,Humid. Solo,10,95%,0
soil hum sens,Humid. Solo,10,98%,0
air hum sens,Humid. Ar,11,10%,0
air hum sens,Humid. Ar,11,10%,0
air hum sens,Humid. Ar,11,31%,0
air hum sens,Humid. Ar,11,49%,0
air hum sens,Humid. Ar,12,13%,0
air hum sens,Humid. Ar,12,14%,0
air hum sens,Humid. Ar,12,14%,0
air hum sens,Humid. Ar,12,34%,0
air hum sens,Humid. Ar,12,51%,0
air hum sens,Humid. Ar,12,69%,0
air hum sens,Humid. Ar,12,88%,0
air hum sens,Humid. Ar,12,100%,0
