"Clientes-Produtores","Dia","Prod1","Prod2","Prod3","Prod4","Prod5","Prod6","Prod7","Prod8","Prod9","Prod10","Prod11","Prod12"
"C1",1,0,0,0,0,5,2,0,0,0,0,2.5,0
"C2",1,0,5.5,4.5,0,4,0,0,0,1,9,10,0
"C3",1,10,0,0,0,9,2.5,0,0,4.5,0,0,0
"C4",1,0,0,0,0,0,0,0,0,0,0,0,0
"C5",1,0,0,0,0,0,0,0,0,0,0,0,0
"C6",1,0,0,8.5,0,0,0,0,0,0,9,9.5,0
"C7",1,0,0,0,0,0,0,0,0,0,0,0,0
"C8",1,0,0,0,0,0,2.5,0,0,7.5,0,0,6
"C9",1,7,0,0,0,0,0,0,0,3,0,0,0
"C1",2,4.5,6,3.5,0,4,0,9,3,0,5.5,1.5,0
"C2",2,9,7,0,1.5,6,0,5,0,5,10,1,3
"C3",2,10,0,0,0,0,0,6,0,7.5,0,2.5,3.5
"C4",2,0,0,0,0,6.5,0,0,0,2,0,3.5,3
"C5",2,0,0,0,0,0,0,0,0,0,0,0,0
"C6",2,0,0,0,0,0,0,0,0,0,0,0,0
"C7",2,6,0,8,0,0,7,3.5,7,1.5,2.5,3.5,4.5
"C8",2,0,0,0,0,0,0,0,0,0,0,0,0
"C9",2,10,0,6.5,0,0,10,0,0,9.5,3.5,4.5,0
"C1",3,8,0,9.5,2,0,0,9.5,0,2,9.5,0,6
"C2",3,0,0,0,0,5,0,3,0,0,8,0,0
"C3",3,0,0,0,0,0,0,0,0,0,0,0,0
"C4",3,0,10,0,8,5,2.5,0,4,0,0,5.5,0
"C5",3,8,0,4.5,0,0,0,0,0,0,0,5.5,0
"C6",3,8,0,8.5,0,0,0,0,4.5,0,3,0,0
"C7",3,0,0,0,5.5,0,0,3.5,3,0,0,0,10
"C8",3,1,0,0,8.5,0,8.5,0,10,9,0,0,5
"C9",3,0,0,0,7.5,7.5,0,0,6.5,0,0,0,0
"C1",4,0,4.5,0,0,9,9.5,0,0,0,0,5.5,9
"C2",4,2.5,0,9,0,9,0,0,0,0,0,0,0
"C3",4,1,0,0,0,2.5,7.5,0,0,0,4,0,0
